Date,Open,High,Low,Close,Adj Close,Volume
2003-09-03,615.000000,675.000000,605.000000,675.000000,376.886749,43162500
2003-09-04,690.000000,750.000000,675.000000,685.000000,382.470032,82850000
2003-09-05,685.000000,700.000000,680.000000,690.000000,385.261932,24055000
2003-09-08,690.000000,690.000000,665.000000,680.000000,379.678589,18007500
2003-09-09,680.000000,680.000000,660.000000,665.000000,371.303162,14075000
2003-09-10,660.000000,660.000000,640.000000,640.000000,357.344391,14190000
2003-09-11,640.000000,645.000000,640.000000,640.000000,357.344391,7087500
2003-09-12,645.000000,670.000000,645.000000,660.000000,368.511444,15392500
2003-09-15,660.000000,665.000000,645.000000,650.000000,362.927826,9137500
2003-09-16,655.000000,665.000000,655.000000,665.000000,371.303162,8705000
2003-09-17,670.000000,670.000000,660.000000,665.000000,371.303162,8890000
2003-09-18,660.000000,660.000000,655.000000,660.000000,368.511444,5075000
2003-09-19,660.000000,660.000000,660.000000,660.000000,368.511444,1787500
2003-09-22,660.000000,660.000000,660.000000,660.000000,368.511444,0
2003-09-23,660.000000,665.000000,655.000000,660.000000,368.511444,7242500
2003-09-24,665.000000,665.000000,665.000000,665.000000,371.303162,5100000
2003-09-25,665.000000,680.000000,665.000000,670.000000,374.094910,13552500
2003-09-26,670.000000,670.000000,660.000000,665.000000,371.303162,9102500
2003-09-29,665.000000,665.000000,655.000000,660.000000,368.511444,2212500
2003-09-30,665.000000,675.000000,665.000000,670.000000,374.094910,14197500
2003-10-01,670.000000,675.000000,665.000000,665.000000,371.303162,2340000
2003-10-02,670.000000,670.000000,665.000000,670.000000,374.094910,16442500
2003-10-03,670.000000,670.000000,665.000000,665.000000,371.303162,12162500
2003-10-06,665.000000,665.000000,660.000000,660.000000,368.511444,13135000
2003-10-07,665.000000,665.000000,660.000000,665.000000,371.303162,7335000
2003-10-08,665.000000,665.000000,660.000000,660.000000,368.511444,15170000
2003-10-09,660.000000,660.000000,660.000000,660.000000,368.511444,17857500
2003-10-10,665.000000,665.000000,655.000000,655.000000,365.719604,6077500
2003-10-13,660.000000,660.000000,655.000000,660.000000,368.511444,1145000
2003-10-14,660.000000,665.000000,660.000000,660.000000,368.511444,9725000
2003-10-15,660.000000,660.000000,650.000000,650.000000,362.927826,12750000
2003-10-16,655.000000,655.000000,650.000000,650.000000,362.927826,7362500
2003-10-17,655.000000,655.000000,650.000000,655.000000,365.719604,11207500
2003-10-20,655.000000,655.000000,650.000000,650.000000,362.927826,8195000
2003-10-21,650.000000,650.000000,650.000000,650.000000,362.927826,7077500
2003-10-22,650.000000,650.000000,640.000000,640.000000,357.344391,8332500
2003-10-23,640.000000,640.000000,620.000000,620.000000,346.177338,18522500
2003-10-24,630.000000,650.000000,630.000000,645.000000,360.136108,4672500
2003-10-27,645.000000,650.000000,640.000000,645.000000,360.136108,6855000
2003-10-28,650.000000,655.000000,640.000000,645.000000,360.136108,11830000
2003-10-29,640.000000,640.000000,630.000000,635.000000,354.552551,7225000
2003-10-30,635.000000,635.000000,620.000000,625.000000,348.969177,6600000
2003-10-31,625.000000,645.000000,625.000000,645.000000,360.136108,21720000
2003-11-03,640.000000,640.000000,635.000000,640.000000,357.344391,4307500
2003-11-04,640.000000,655.000000,640.000000,650.000000,362.927826,14200000
2003-11-05,650.000000,650.000000,640.000000,640.000000,357.344391,6282500
2003-11-06,640.000000,645.000000,640.000000,645.000000,360.136108,4260000
2003-11-07,645.000000,650.000000,645.000000,650.000000,362.927826,10940000
2003-11-10,645.000000,660.000000,645.000000,660.000000,368.511444,8895000
2003-11-11,655.000000,660.000000,650.000000,660.000000,368.511444,13595000
2003-11-12,660.000000,665.000000,655.000000,655.000000,365.719604,12485000
2003-11-13,645.000000,645.000000,640.000000,645.000000,368.001831,9012500
2003-11-14,640.000000,645.000000,640.000000,640.000000,365.149109,2102500
2003-11-17,640.000000,640.000000,635.000000,635.000000,362.296265,4522500
2003-11-18,630.000000,635.000000,630.000000,635.000000,362.296265,3337500
2003-11-19,630.000000,630.000000,625.000000,630.000000,359.443542,6865000
2003-11-20,625.000000,630.000000,625.000000,630.000000,359.443542,5892500
2003-11-21,635.000000,635.000000,635.000000,635.000000,362.296265,4890000
2003-11-24,635.000000,635.000000,635.000000,635.000000,362.296265,0
2003-11-25,635.000000,635.000000,635.000000,635.000000,362.296265,0
2003-11-26,635.000000,635.000000,635.000000,635.000000,362.296265,0
2003-11-27,635.000000,635.000000,635.000000,635.000000,362.296265,0
2003-11-28,635.000000,635.000000,635.000000,635.000000,362.296265,0
2003-12-01,640.000000,685.000000,640.000000,685.000000,390.823547,56602500
2003-12-02,690.000000,695.000000,665.000000,670.000000,382.265472,38365000
2003-12-03,670.000000,675.000000,670.000000,670.000000,382.265472,11140000
